product_id,product_name,description,category,price,product_features
0,Product 0,This is the description for Product 0.,Beauty,252.53,"{'color': 'Blue', 'size': 'Medium', 'material': 'Cotton', 'technical_specs': []}"
1,Product 1,This is the description for Product 1.,Clothing,651.44,"{'color': 'Blue', 'size': 'Medium', 'material': 'Leather', 'technical_specs': []}"
2,Product 2,This is the description for Product 2.,Clothing,789.77,"{'color': 'Green', 'size': 'Small', 'material': 'Leather', 'technical_specs': []}"
3,Product 3,This is the description for Product 3.,Beauty,673.7,"{'color': 'Blue', 'size': 'Large', 'material': 'Cotton', 'technical_specs': []}"
4,Product 4,This is the description for Product 4.,Beauty,951.78,"{'color': 'Red', 'size': 'Large', 'material': 'Plastic', 'technical_specs': []}"
5,Product 5,This is the description for Product 5.,Electronics,302.34,"{'color': 'Blue', 'size': 'Medium', 'material': 'Plastic', 'technical_specs': []}"
6,Product 6,This is the description for Product 6.,Clothing,132.37,"{'color': 'Blue', 'size': 'Medium', 'material': 'Leather', 'technical_specs': []}"
7,Product 7,This is the description for Product 7.,Electronics,897.41,"{'color': 'Blue', 'size': 'Large', 'material': 'Leather', 'technical_specs': []}"
8,Product 8,This is the description for Product 8.,Electronics,504.78,"{'color': 'Green', 'size': 'Small', 'material': 'Leather', 'technical_specs': []}"
9,Product 9,This is the description for Product 9.,Home,717.11,"{'color': 'Green', 'size': 'Large', 'material': 'Leather', 'technical_specs': []}"
10,Product 10,This is the description for Product 10.,Electronics,332.93,"{'color': 'Red', 'size': 'Large', 'material': 'Cotton', 'technical_specs': []}"
11,Product 11,This is the description for Product 11.,Electronics,212.99,"{'color': 'Red', 'size': 'Large', 'material': 'Leather', 'technical_specs': []}"
12,Product 12,This is the description for Product 12.,Clothing,349.76,"{'color': 'Green', 'size': 'Large', 'material': 'Cotton', 'technical_specs': []}"
13,Product 13,This is the description for Product 13.,Clothing,763.3,"{'color': 'Red', 'size': 'Small', 'material': 'Cotton', 'technical_specs': []}"
14,Product 14,This is the description for Product 14.,Electronics,566.08,"{'color': 'Green', 'size': 'Large', 'material': 'Plastic', 'technical_specs': []}"
15,Product 15,This is the description for Product 15.,Home,227.14,"{'color': 'Red', 'size': 'Medium', 'material': 'Plastic', 'technical_specs': []}"
16,Product 16,This is the description for Product 16.,Beauty,705.07,"{'color': 'Blue', 'size': 'Medium', 'material': 'Plastic', 'technical_specs': []}"
17,Product 17,This is the description for Product 17.,Electronics,23.86,"{'color': 'Green', 'size': 'Medium', 'material': 'Leather', 'technical_specs': []}"
18,Product 18,This is the description for Product 18.,Beauty,180.84,"{'color': 'Green', 'size': 'Medium', 'material': 'Leather', 'technical_specs': []}"
19,Product 19,This is the description for Product 19.,Home,701.07,"{'color': 'Blue', 'size': 'Small', 'material': 'Cotton', 'technical_specs': []}"
20,Product 20,This is the description for Product 20.,Electronics,499.26,"{'color': 'Red', 'size': 'Medium', 'material': 'Leather', 'technical_specs': []}"
21,Product 21,This is the description for Product 21.,Beauty,721.3,"{'color': 'Red', 'size': 'Small', 'material': 'Plastic', 'technical_specs': []}"
22,Product 22,This is the description for Product 22.,Home,676.09,"{'color': 'Blue', 'size': 'Small', 'material': 'Plastic', 'technical_specs': []}"
23,Product 23,This is the description for Product 23.,Home,703.77,"{'color': 'Green', 'size': 'Large', 'material': 'Cotton', 'technical_specs': []}"
24,Product 24,This is the description for Product 24.,Electronics,822.54,"{'color': 'Green', 'size': 'Medium', 'material': 'Plastic', 'technical_specs': []}"
25,Product 25,This is the description for Product 25.,Beauty,17.9,"{'color': 'Green', 'size': 'Medium', 'material': 'Leather', 'technical_specs': []}"
26,Product 26,This is the description for Product 26.,Electronics,997.5,"{'color': 'Red', 'size': 'Small', 'material': 'Plastic', 'technical_specs': []}"
27,Product 27,This is the description for Product 27.,Electronics,412.31,"{'color': 'Red', 'size': 'Small', 'material': 'Plastic', 'technical_specs': []}"
28,Product 28,This is the description for Product 28.,Electronics,410.82,"{'color': 'Red', 'size': 'Medium', 'material': 'Plastic', 'technical_specs': []}"
29,Product 29,This is the description for Product 29.,Home,204.74,"{'color': 'Blue', 'size': 'Large', 'material': 'Cotton', 'technical_specs': []}"
30,Product 30,This is the description for Product 30.,Clothing,830.81,"{'color': 'Green', 'size': 'Medium', 'material': 'Plastic', 'technical_specs': []}"
31,Product 31,This is the description for Product 31.,Clothing,226.54,"{'color': 'Blue', 'size': 'Medium', 'material': 'Plastic', 'technical_specs': []}"
32,Product 32,This is the description for Product 32.,Electronics,160.02,"{'color': 'Red', 'size': 'Large', 'material': 'Cotton', 'technical_specs': []}"
33,Product 33,This is the description for Product 33.,Beauty,909.76,"{'color': 'Blue', 'size': 'Large', 'material': 'Cotton', 'technical_specs': []}"
34,Product 34,This is the description for Product 34.,Beauty,809.74,"{'color': 'Green', 'size': 'Large', 'material': 'Leather', 'technical_specs': []}"
35,Product 35,This is the description for Product 35.,Beauty,44.24,"{'color': 'Blue', 'size': 'Small', 'material': 'Plastic', 'technical_specs': []}"
36,Product 36,This is the description for Product 36.,Home,607.76,"{'color': 'Red', 'size': 'Large', 'material': 'Plastic', 'technical_specs': []}"
37,Product 37,This is the description for Product 37.,Electronics,722.82,"{'color': 'Green', 'size': 'Large', 'material': 'Cotton', 'technical_specs': []}"
38,Product 38,This is the description for Product 38.,Electronics,281.41,"{'color': 'Red', 'size': 'Small', 'material': 'Cotton', 'technical_specs': []}"
39,Product 39,This is the description for Product 39.,Electronics,79.07,"{'color': 'Red', 'size': 'Medium', 'material': 'Cotton', 'technical_specs': []}"
40,Product 40,This is the description for Product 40.,Electronics,182.92,"{'color': 'Green', 'size': 'Small', 'material': 'Leather', 'technical_specs': []}"
41,Product 41,This is the description for Product 41.,Home,943.44,"{'color': 'Red', 'size': 'Medium', 'material': 'Plastic', 'technical_specs': []}"
42,Product 42,This is the description for Product 42.,Beauty,796.72,"{'color': 'Green', 'size': 'Medium', 'material': 'Cotton', 'technical_specs': []}"
43,Product 43,This is the description for Product 43.,Home,530.49,"{'color': 'Green', 'size': 'Small', 'material': 'Leather', 'technical_specs': []}"
44,Product 44,This is the description for Product 44.,Electronics,286.38,"{'color': 'Green', 'size': 'Large', 'material': 'Cotton', 'technical_specs': []}"
45,Product 45,This is the description for Product 45.,Electronics,952.01,"{'color': 'Blue', 'size': 'Large', 'material': 'Leather', 'technical_specs': []}"
46,Product 46,This is the description for Product 46.,Clothing,807.32,"{'color': 'Blue', 'size': 'Medium', 'material': 'Cotton', 'technical_specs': []}"
47,Product 47,This is the description for Product 47.,Beauty,500.32,"{'color': 'Red', 'size': 'Small', 'material': 'Leather', 'technical_specs': []}"
48,Product 48,This is the description for Product 48.,Beauty,166.73,"{'color': 'Red', 'size': 'Medium', 'material': 'Plastic', 'technical_specs': []}"
49,Product 49,This is the description for Product 49.,Home,970.42,"{'color': 'Green', 'size': 'Small', 'material': 'Plastic', 'technical_specs': []}"
